                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.97703,                0.48025,                0.85845,                 0.9054,                 0.8585,                0.91662,                0.60144,                 1.0511,                0.48734,                0.89617,               0.001189,               0.001189,               0.001189
                     91,                0.95676,                0.46949,                0.85935,                0.91602,                0.85188,                0.91843,                0.60577,                 1.0509,                0.48779,                0.89524,                0.00109,                0.00109,                0.00109
                     92,                  0.962,                0.46905,                0.85621,                0.91704,                0.86095,                0.92077,                  0.608,                 1.0496,                0.48569,                0.89589,               0.000991,               0.000991,               0.000991
                     93,                0.95391,                0.45984,                0.85753,                0.90608,                0.85789,                0.91638,                0.60733,                 1.0471,                0.48221,                0.89431,               0.000892,               0.000892,               0.000892
                     94,                0.93501,                 0.4543,                0.85003,                 0.9123,                0.85666,                0.91743,                0.60862,                 1.0451,                0.48116,                0.89466,               0.000793,               0.000793,               0.000793
                     95,                0.92458,                0.44968,                0.85493,                0.91002,                0.85789,                0.91806,                0.60973,                 1.0454,                0.47901,                0.89591,               0.000694,               0.000694,               0.000694
                     96,                 0.9243,                0.45238,                0.85296,                0.91434,                 0.8598,                0.91957,                 0.6063,                 1.0465,                0.47598,                0.89496,               0.000595,               0.000595,               0.000595
                     97,                0.92584,                0.44487,                0.85274,                0.91261,                0.86043,                0.91939,                0.61047,                 1.0423,                0.47509,                0.89497,               0.000496,               0.000496,               0.000496
                     98,                0.90787,                0.44324,                0.84863,                0.91587,                0.85696,                0.91995,                0.60904,                 1.0423,                  0.476,                 0.8945,               0.000397,               0.000397,               0.000397
                     99,                0.92349,                0.44921,                0.84823,                0.91785,                0.86237,                0.92059,                0.61072,                 1.0395,                0.47553,                0.89405,               0.000298,               0.000298,               0.000298
